Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
322,60,6,99.0,12099,2,,2,1,1,1,1,16,3,3,1.0,4,8,5,2004,2004,2,2,15,15,2.0,388.0,2,3,3,1.0,3.0,2.0,1.0,970,6.0,0,166,1136,2,1,1,1.0,1136,1332,0,2468,1,0,2,1,4,1,2,10,1,1,2.0,4.0,2004.0,1.0,3,872,3.0,3.0,1,184,154,0,0,0,0,,,,0,6,2007,1,1,354000
323,60,6,86.0,10380,2,,2,1,1,1,1,21,3,3,1.0,4,7,5,1986,1987,2,2,11,11,2.0,172.0,2,3,2,3.0,3.0,1.0,5.0,28,2.0,1474,0,1502,2,1,1,1.0,1553,1177,0,2730,1,0,2,1,4,1,2,8,1,1,3.0,2.0,1987.0,1.0,2,576,3.0,3.0,1,201,96,0,0,0,0,,2.0,,0,8,2007,1,1,301000
324,20,8,49.0,5820,2,,1,1,1,1,1,18,3,3,1.0,1,3,8,1955,2005,2,2,15,15,4.0,0.0,3,2,2,3.0,3.0,4.0,2.0,256,6.0,0,906,1162,2,1,1,1.0,1163,0,0,1163,1,0,1,0,3,1,3,6,1,0,,2.0,1955.0,3.0,1,220,4.0,3.0,1,142,98,0,0,0,0,,,,0,7,2006,1,1,126175
325,80,6,96.0,11275,2,,1,1,1,2,1,13,6,3,1.0,8,7,7,1967,2007,5,7,16,16,2.0,300.0,2,2,2,2.0,3.0,4.0,6.0,0,6.0,0,710,710,2,1,1,1.0,1898,1080,0,2978,0,0,2,1,5,1,2,11,1,1,2.0,4.0,1961.0,1.0,2,564,3.0,3.0,1,240,0,0,0,0,0,,,,0,6,2010,1,1,242000
326,45,8,50.0,5000,2,,1,1,1,1,1,10,9,3,1.0,3,5,6,1941,1950,2,2,9,9,4.0,0.0,3,3,2,3.0,3.0,2.0,3.0,116,6.0,0,604,720,2,5,0,3.0,803,0,0,803,0,0,1,0,2,1,3,5,1,0,,6.0,1941.0,3.0,2,360,3.0,3.0,1,0,0,244,0,0,0,,,,0,12,2007,1,1,87000
327,120,6,32.0,10846,2,,2,1,1,3,1,25,3,3,4.0,1,8,5,1993,1993,2,2,4,4,4.0,0.0,2,3,3,2.0,3.0,1.0,1.0,1619,6.0,0,100,1719,2,1,1,1.0,1719,0,0,1719,2,0,1,1,1,1,2,6,1,2,2.0,2.0,1993.0,1.0,2,473,3.0,3.0,1,122,30,0,0,0,0,,,,0,5,2008,6,1,324000
328,20,6,80.0,11600,2,,1,1,1,1,1,13,3,3,1.0,1,6,5,1960,1960,4,2,16,16,2.0,175.0,3,3,2,3.0,3.0,4.0,4.0,565,6.0,0,818,1383,2,3,1,1.0,1383,0,0,1383,0,0,1,1,3,1,3,7,1,0,,2.0,1960.0,2.0,1,292,3.0,3.0,1,0,45,0,0,0,0,,,,0,4,2006,1,1,145250
329,75,6,,11888,2,2.0,2,2,1,1,1,4,6,3,1.0,6,6,6,1916,1994,2,2,16,17,4.0,0.0,3,3,1,3.0,3.0,4.0,6.0,0,6.0,0,844,844,2,2,0,2.0,1445,689,0,2134,0,0,2,0,5,1,2,10,1,0,,6.0,1930.0,3.0,2,441,3.0,3.0,1,0,60,268,0,0,0,,,,0,7,2009,1,1,214500
330,70,8,60.0,6402,2,,1,1,1,2,1,10,3,3,1.0,4,5,5,1920,1950,2,2,16,17,4.0,0.0,3,3,3,3.0,3.0,3.0,6.0,0,6.0,0,596,596,2,3,0,1.0,596,596,0,1192,0,0,1,0,3,1,3,6,1,0,,6.0,1920.0,3.0,1,189,4.0,4.0,3,0,0,137,0,0,0,,3.0,,0,7,2009,1,1,78000
331,90,6,,10624,2,,2,1,1,1,1,13,3,3,3.0,1,5,4,1964,1964,2,2,7,7,2.0,84.0,3,3,2,3.0,3.0,4.0,1.0,40,4.0,264,1424,1728,2,3,1,1.0,1728,0,0,1728,0,1,2,0,6,2,3,10,1,0,,6.0,2002.0,3.0,1,352,3.0,3.0,1,155,0,0,0,0,0,,,,0,11,2007,1,1,119000
332,20,6,70.0,8176,2,,1,1,1,1,1,13,3,3,1.0,1,5,6,1958,1992,2,2,16,16,4.0,0.0,3,3,2,3.0,3.0,4.0,4.0,846,6.0,0,210,1056,2,4,1,1.0,1056,0,0,1056,1,0,1,0,3,1,3,6,1,0,,2.0,1958.0,2.0,1,308,3.0,3.0,1,0,0,0,0,0,0,,,,0,8,2007,1,1,139000
333,20,6,85.0,10655,2,,2,1,1,1,1,16,3,3,1.0,1,8,5,2003,2004,2,2,15,15,2.0,296.0,2,3,3,2.0,3.0,4.0,1.0,1124,,479,1603,3206,2,1,1,1.0,1629,0,0,1629,1,0,2,0,3,1,2,7,1,1,2.0,2.0,2003.0,2.0,3,880,3.0,3.0,1,0,0,0,0,0,0,,,,0,10,2009,1,1,284000
334,120,8,59.0,8198,2,,1,1,1,4,1,16,3,3,4.0,1,7,5,2004,2004,2,2,15,15,5.0,146.0,2,3,3,2.0,3.0,2.0,1.0,720,6.0,0,638,1358,2,1,1,1.0,1358,0,0,1358,1,0,2,0,2,1,2,6,1,1,2.0,2.0,2004.0,2.0,2,484,3.0,3.0,1,192,30,0,0,0,0,,,,0,7,2008,1,1,207000
335,60,6,59.0,9042,2,,2,1,1,1,1,9,3,3,1.0,4,6,5,1998,1998,2,2,15,15,4.0,0.0,3,3,3,2.0,3.0,1.0,1.0,828,6.0,0,115,943,2,2,1,1.0,943,695,0,1638,1,0,2,1,3,1,3,7,1,2,3.0,2.0,1998.0,1.0,2,472,3.0,3.0,1,100,38,0,0,0,0,,,,0,7,2008,1,1,192000
336,190,6,,164660,1,,2,3,1,2,3,24,3,3,2.0,2,5,6,1965,1965,2,2,11,11,4.0,0.0,3,3,2,3.0,3.0,1.0,2.0,1249,3.0,147,103,1499,2,1,1,1.0,1619,167,0,1786,2,0,2,0,3,1,3,7,1,2,2.0,2.0,1965.0,1.0,2,529,3.0,3.0,1,670,0,0,0,0,0,,,4.0,700,8,2008,1,1,228950
337,20,6,86.0,14157,2,,2,3,1,2,1,23,3,3,1.0,1,9,5,2005,2006,4,2,15,15,5.0,200.0,2,3,3,1.0,3.0,1.0,1.0,1249,6.0,0,673,1922,2,1,1,1.0,1922,0,0,1922,1,0,2,0,3,1,2,8,1,1,2.0,2.0,2005.0,1.0,3,676,3.0,3.0,1,178,51,0,0,0,0,,,,0,7,2007,1,1,377426
338,20,6,70.0,9135,2,,1,1,1,1,1,6,3,3,1.0,1,7,5,2002,2003,2,2,15,15,2.0,113.0,2,3,3,2.0,3.0,2.0,1.0,810,6.0,0,726,1536,2,1,1,1.0,1536,0,0,1536,1,0,2,0,3,1,2,7,1,0,,2.0,2002.0,2.0,2,532,3.0,3.0,1,192,74,0,0,0,0,,,,0,12,2008,1,1,214000
339,20,6,91.0,14145,2,,1,1,1,2,1,17,3,3,1.0,1,7,7,1984,1998,2,2,16,16,4.0,0.0,2,3,2,2.0,3.0,3.0,2.0,213,6.0,0,995,1208,2,1,1,1.0,1621,0,0,1621,1,0,2,0,3,1,2,8,1,0,,2.0,1984.0,2.0,2,440,3.0,3.0,1,108,45,0,0,0,0,,,4.0,400,5,2006,1,1,202500
340,20,6,66.0,12400,2,,2,1,1,1,1,13,2,3,1.0,1,6,7,1958,1998,4,2,16,16,2.0,176.0,3,3,2,3.0,4.0,4.0,4.0,585,6.0,0,630,1215,2,3,1,2.0,1215,0,0,1215,0,0,1,0,3,1,3,6,1,0,,2.0,1958.0,3.0,1,297,3.0,3.0,1,0,0,0,0,234,0,,,,0,6,2009,1,1,155000
341,60,6,85.0,14191,2,,1,1,1,1,1,24,3,3,1.0,4,8,5,2002,2002,2,2,15,15,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0,6.0,0,967,967,2,1,1,1.0,993,915,0,1908,0,0,2,1,4,1,2,9,1,0,,2.0,2002.0,1.0,2,431,3.0,3.0,1,135,0,0,0,0,0,,,,0,4,2010,1,1,202900
342,20,5,60.0,8400,2,,1,1,1,1,1,21,2,3,1.0,1,4,4,1950,1950,2,2,16,1,4.0,0.0,4,4,2,3.0,4.0,4.0,6.0,0,6.0,0,721,721,2,2,1,1.0,841,0,0,841,0,0,1,0,2,1,3,4,1,0,,5.0,1950.0,3.0,1,294,3.0,3.0,3,250,0,24,0,0,0,,,,0,9,2009,1,1,82000
343,90,6,,8544,2,,1,1,1,1,1,13,3,3,3.0,1,3,4,1949,1950,2,2,14,14,2.0,340.0,3,3,4,,,,,0,,0,0,0,6,4,0,2.0,1040,0,0,1040,0,0,2,0,2,2,3,6,1,0,,6.0,1949.0,3.0,2,400,3.0,3.0,1,0,0,0,0,0,0,,,,0,5,2006,1,1,87500
344,120,6,63.0,8849,2,,2,1,1,1,1,16,3,3,4.0,1,9,5,2005,2005,4,2,9,9,2.0,616.0,1,3,3,1.0,3.0,4.0,1.0,28,6.0,0,1656,1684,2,1,1,1.0,1684,0,0,1684,0,0,2,0,2,1,1,6,1,1,1.0,2.0,2005.0,2.0,2,564,3.0,3.0,1,495,72,0,0,0,0,,,,0,7,2008,1,1,266000
345,160,8,36.0,2592,2,,1,1,1,1,1,11,3,3,4.0,4,5,3,1976,1976,2,2,6,6,4.0,0.0,3,3,2,2.0,3.0,4.0,4.0,129,3.0,232,175,536,2,3,1,1.0,536,576,0,1112,0,0,1,1,3,1,3,4,1,0,,2.0,1976.0,3.0,1,336,3.0,3.0,1,182,0,0,0,0,0,,,,0,4,2010,1,1,85000
346,50,6,65.0,6435,2,,1,1,1,1,1,4,5,3,1.0,2,6,5,1939,1950,2,2,9,9,4.0,0.0,3,3,1,3.0,3.0,4.0,6.0,0,6.0,0,972,972,2,2,1,1.0,972,605,0,1577,0,0,1,0,3,1,4,6,1,1,2.0,6.0,1939.0,3.0,1,312,3.0,3.0,1,0,0,0,0,0,0,,,,0,10,2006,1,1,140200
347,20,6,,12772,2,,2,1,1,3,1,13,3,3,1.0,1,6,8,1960,1998,4,2,9,9,4.0,0.0,3,2,2,3.0,3.0,3.0,3.0,498,6.0,0,460,958,2,3,1,1.0,958,0,0,958,0,0,1,0,2,1,3,5,1,0,,2.0,1960.0,2.0,1,301,3.0,3.0,1,0,0,0,0,0,0,,,2.0,15500,4,2007,1,1,151500
348,20,6,,17600,2,,2,1,1,1,1,13,3,3,1.0,1,6,5,1960,1960,2,2,16,16,2.0,30.0,3,3,2,3.0,3.0,4.0,3.0,1270,6.0,0,208,1478,2,1,1,2.0,1478,0,0,1478,1,0,2,0,3,1,3,6,1,2,2.0,2.0,1960.0,3.0,2,498,3.0,3.0,1,0,40,0,0,0,0,,,,0,12,2009,1,1,157500
349,160,6,36.0,2448,2,,1,1,1,1,1,16,3,3,4.5,4,7,5,2003,2004,2,2,15,17,5.0,106.0,2,3,3,2.0,3.0,4.0,1.0,573,6.0,0,191,764,2,1,1,1.0,764,862,0,1626,1,0,2,1,2,1,2,6,1,0,,4.0,2003.0,2.0,2,474,3.0,3.0,1,0,27,0,0,0,0,,,,0,10,2008,1,1,154000
350,60,6,56.0,20431,2,,3,1,1,1,1,16,3,3,1.0,4,9,5,2005,2006,4,2,6,6,2.0,870.0,1,3,3,1.0,3.0,4.0,1.0,1410,6.0,0,438,1848,2,1,1,1.0,1848,880,0,2728,1,0,2,1,4,1,1,10,1,2,1.0,2.0,2006.0,1.0,3,706,3.0,3.0,1,0,0,0,0,0,0,,,,0,4,2006,4,6,437154
351,120,6,68.0,7820,2,,2,1,1,1,1,16,3,3,4.0,1,9,5,2007,2007,4,2,9,9,2.0,362.0,1,3,3,1.0,3.0,4.0,6.0,0,6.0,0,1869,1869,2,1,1,1.0,1869,0,0,1869,0,0,2,0,2,1,1,6,1,1,2.0,2.0,2007.0,2.0,2,617,3.0,3.0,1,210,54,0,0,0,0,,,,0,12,2007,4,6,318061
352,120,6,,5271,2,,2,4,1,1,2,5,3,3,1.0,1,7,5,1986,1986,2,2,16,16,4.0,0.0,3,3,3,2.0,3.0,1.0,1.0,1082,6.0,0,371,1453,2,2,1,1.0,1453,0,0,1453,1,0,1,1,2,1,2,6,1,1,3.0,2.0,1986.0,2.0,2,445,3.0,3.0,1,0,80,0,0,184,0,,,,0,12,2006,1,2,190000
353,50,6,60.0,9084,2,,1,1,1,1,1,8,1,3,1.0,2,5,6,1941,1950,2,2,15,15,4.0,0.0,3,3,2,3.0,4.0,3.0,5.0,236,4.0,380,0,616,2,3,0,1.0,616,495,0,1111,0,1,1,0,3,1,3,5,1,0,,6.0,1941.0,3.0,1,200,3.0,4.0,1,48,0,0,0,0,0,,,,0,3,2008,7,1,95000
354,30,8,60.0,8520,2,,1,1,1,1,1,18,3,3,1.0,1,6,8,1928,2003,2,2,15,15,4.0,0.0,3,2,1,3.0,3.0,4.0,6.0,0,6.0,0,624,624,2,2,1,1.0,720,0,0,720,0,0,1,0,2,1,3,5,1,0,,6.0,2005.0,3.0,2,484,3.0,3.0,1,106,0,0,0,0,0,,,,0,5,2010,1,1,105900
355,50,6,60.0,8400,2,,1,2,1,1,1,19,3,3,1.0,2,6,5,1940,2000,2,2,16,9,4.0,0.0,3,3,2,3.0,3.0,4.0,5.0,388,6.0,0,552,940,2,1,1,1.0,1192,403,0,1595,0,0,1,0,2,1,3,6,1,2,2.0,2.0,1940.0,3.0,1,240,3.0,3.0,1,0,0,108,0,0,0,,,,0,6,2006,1,1,140000
356,20,6,105.0,11249,2,,3,1,1,1,1,6,3,3,1.0,1,6,5,1995,1995,2,2,15,15,4.0,0.0,2,2,3,2.0,2.0,4.0,2.0,334,3.0,544,322,1200,2,1,1,1.0,1200,0,0,1200,1,0,2,0,3,1,2,6,1,0,,2.0,1995.0,2.0,2,521,3.0,3.0,1,0,26,0,0,0,0,,,,0,8,2007,1,1,177500
357,20,6,,9248,2,,2,1,1,1,1,9,3,3,1.0,1,6,6,1992,1992,2,2,7,7,2.0,106.0,3,3,3,2.0,3.0,4.0,1.0,560,6.0,0,598,1158,2,2,1,1.0,1167,0,0,1167,1,0,2,0,3,1,2,6,1,0,,2.0,1992.0,2.0,2,400,3.0,3.0,1,120,26,0,0,0,0,,,,0,7,2009,1,1,173000
358,120,8,44.0,4224,2,,1,1,1,1,1,11,3,3,4.0,1,5,5,1976,1976,2,2,6,6,4.0,0.0,3,3,3,2.0,3.0,4.0,2.0,874,6.0,0,268,1142,2,3,1,1.0,1142,0,0,1142,1,0,1,1,3,1,3,6,1,1,5.0,2.0,1976.0,1.0,2,528,3.0,3.0,1,536,90,0,0,0,0,,2.0,,0,8,2007,1,1,134000
359,80,6,92.0,6930,2,,2,1,1,1,1,5,3,3,1.0,8,5,4,1958,1958,4,2,16,8,2.0,120.0,3,3,2,3.0,3.0,2.0,3.0,300,4.0,294,468,1062,2,1,1,3.0,1352,0,0,1352,0,1,1,0,3,1,2,6,3,0,,4.0,1958.0,3.0,1,288,3.0,3.0,1,168,0,294,0,0,0,,,,0,7,2006,1,2,130000
360,60,6,78.0,12011,2,,2,1,1,3,1,14,3,3,1.0,4,8,5,1998,1998,2,2,15,15,2.0,530.0,2,3,3,2.0,3.0,2.0,1.0,956,6.0,0,130,1086,2,1,1,1.0,1086,838,0,1924,1,0,2,1,3,1,2,7,1,1,3.0,2.0,1998.0,2.0,2,592,3.0,3.0,1,208,75,0,0,374,0,,,,0,6,2006,1,1,280000
361,85,6,,7540,2,,2,1,1,3,1,12,3,3,1.0,7,6,6,1978,1978,2,2,15,15,4.0,0.0,3,3,2,2.0,3.0,2.0,1.0,773,6.0,0,115,888,2,1,1,1.0,912,0,0,912,1,0,1,0,2,1,3,5,1,1,3.0,2.0,1978.0,2.0,2,470,3.0,3.0,1,0,0,0,0,192,0,,2.0,,0,6,2007,1,1,156000
362,50,6,,9144,2,2.0,1,1,1,1,1,4,3,3,1.0,2,5,5,1940,1982,2,2,9,9,4.0,0.0,3,3,2,3.0,3.0,4.0,4.0,399,6.0,0,484,883,2,2,1,1.0,988,517,0,1505,1,0,1,0,3,1,3,8,1,0,,6.0,1940.0,3.0,1,240,3.0,3.0,3,0,0,0,0,0,0,,,,0,7,2008,1,1,145000
363,85,6,64.0,7301,2,,1,1,1,2,1,8,3,3,1.0,7,7,5,2003,2003,2,2,7,7,2.0,500.0,2,3,4,,,,,0,,0,0,0,2,1,1,1.0,495,1427,0,1922,0,0,3,0,4,1,2,7,1,1,1.0,4.0,2003.0,2.0,2,672,3.0,3.0,1,0,0,177,0,0,0,,,,0,7,2009,9,1,198500
364,160,8,21.0,1680,2,,1,1,1,1,1,3,3,3,4.5,4,6,8,1972,2007,2,2,7,7,2.0,510.0,3,3,2,3.0,3.0,4.0,2.0,162,6.0,0,321,483,2,2,1,1.0,483,504,0,987,0,0,1,1,2,1,2,5,1,0,,6.0,1972.0,3.0,1,264,3.0,3.0,1,250,0,0,0,0,0,,,,0,5,2009,1,1,118000
365,60,6,,18800,2,,2,1,1,4,1,17,3,3,1.0,4,6,5,1976,1976,2,2,7,7,2.0,120.0,3,3,3,2.0,3.0,3.0,1.0,712,6.0,0,84,796,2,3,1,1.0,790,784,0,1574,1,0,2,1,3,1,3,6,1,1,3.0,2.0,1976.0,1.0,2,566,3.0,3.0,1,306,111,0,0,0,0,,,,0,7,2006,1,1,190000
366,70,8,59.0,10690,2,,1,1,1,1,1,10,3,3,1.0,4,5,7,1920,1997,4,2,15,15,4.0,0.0,3,2,2,3.0,4.0,4.0,4.0,456,6.0,0,216,672,2,2,1,2.0,672,672,0,1344,0,0,1,0,3,1,3,6,1,0,,6.0,1964.0,3.0,1,468,3.0,4.0,1,0,128,218,0,0,0,,,,0,7,2009,1,1,147000
367,20,6,,9500,2,,2,1,1,1,1,13,3,3,1.0,1,6,5,1963,1963,2,2,11,11,2.0,247.0,3,3,2,2.0,3.0,4.0,3.0,609,6.0,0,785,1394,2,2,1,1.0,1394,0,0,1394,1,0,1,1,3,1,3,6,1,2,2.0,2.0,1963.0,2.0,2,514,3.0,3.0,1,0,76,0,0,185,0,,,,0,7,2009,1,1,159000
368,80,6,101.0,9150,2,,2,1,1,2,1,13,3,3,1.0,8,6,5,1962,1962,2,6,11,11,2.0,305.0,3,3,2,2.0,3.0,1.0,1.0,371,6.0,0,728,1099,2,2,1,1.0,1431,0,0,1431,0,1,1,0,3,1,3,6,1,1,2.0,3.0,1962.0,2.0,1,296,3.0,3.0,1,64,110,0,0,0,0,,,,0,12,2008,1,1,165000
369,20,6,78.0,7800,2,,1,1,1,1,1,13,3,3,1.0,1,5,6,1954,1954,2,2,7,7,2.0,200.0,3,3,3,3.0,3.0,4.0,5.0,540,6.0,0,728,1268,2,2,1,1.0,1268,0,0,1268,0,0,1,0,2,1,3,7,1,1,2.0,2.0,1954.0,1.0,1,244,3.0,3.0,1,0,98,0,0,0,0,,,,0,3,2010,1,1,132000
370,20,6,,9830,2,,2,1,1,2,1,13,3,3,1.0,1,5,7,1959,2006,2,2,16,16,4.0,0.0,3,2,2,3.0,3.0,4.0,2.0,72,4.0,258,733,1063,2,1,1,1.0,1287,0,0,1287,1,0,1,0,3,1,2,7,1,1,2.0,6.0,1997.0,1.0,2,576,3.0,3.0,1,364,17,0,0,182,0,,,,0,3,2010,1,1,162000
371,60,6,,8121,2,,2,1,1,1,1,9,3,3,1.0,4,6,5,2000,2000,2,2,15,15,4.0,0.0,3,3,3,2.0,3.0,4.0,6.0,0,6.0,0,953,953,2,1,1,1.0,953,711,0,1664,0,0,2,1,3,1,3,7,1,1,3.0,2.0,2000.0,2.0,2,460,3.0,3.0,1,100,40,0,0,0,0,,,,0,1,2006,1,1,172400
372,50,6,80.0,17120,2,,1,1,1,1,1,5,2,3,1.0,2,4,4,1959,1959,2,2,17,11,4.0,0.0,3,3,2,,,,,0,,0,0,0,2,3,1,1.0,1120,468,0,1588,0,0,2,0,4,1,3,7,3,1,2.0,6.0,1991.0,1.0,2,680,3.0,3.0,3,0,59,0,0,0,0,,,,0,7,2008,1,1,134432
373,120,6,50.0,7175,2,,1,1,1,1,1,21,3,3,4.0,1,6,5,1984,1984,2,2,11,11,4.0,0.0,3,3,2,2.0,3.0,4.0,2.0,623,5.0,121,0,744,2,3,1,1.0,752,0,0,752,1,0,1,0,2,1,3,4,1,0,,2.0,1984.0,3.0,1,264,3.0,3.0,1,353,0,0,0,90,0,,2.0,,0,2,2010,1,1,125000
374,20,6,79.0,10634,2,,1,1,1,1,1,13,3,3,1.0,1,5,6,1953,1953,2,2,9,9,4.0,0.0,3,3,3,3.0,3.0,4.0,3.0,428,5.0,180,0,608,2,3,1,1.0,1319,0,0,1319,1,0,1,0,3,1,3,5,3,0,,2.0,1953.0,3.0,1,270,3.0,3.0,1,66,0,0,0,0,0,,3.0,,0,11,2009,1,1,123000
375,60,6,65.0,8200,2,,1,1,1,1,1,6,3,3,1.0,4,7,5,2003,2004,2,2,15,15,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0,6.0,0,847,847,2,1,1,1.0,847,1081,0,1928,0,0,2,1,4,1,2,8,1,1,2.0,4.0,2003.0,1.0,2,434,3.0,3.0,1,100,48,0,0,0,0,,,,0,7,2007,1,1,219500
376,30,6,,10020,2,,2,4,1,1,3,8,3,3,1.0,1,1,1,1922,1950,2,2,16,16,4.0,0.0,4,4,1,4.0,5.0,1.0,3.0,350,6.0,0,333,683,2,2,0,2.0,904,0,0,904,1,0,0,1,1,1,4,4,5,0,,,,,0,0,,,1,0,0,0,0,0,0,,,,0,3,2009,1,1,61000
377,85,6,57.0,8846,2,,2,1,1,3,1,6,3,3,1.0,7,5,5,1996,1996,2,2,15,15,4.0,0.0,2,3,3,2.0,3.0,2.0,1.0,298,6.0,0,572,870,2,1,1,1.0,914,0,0,914,0,0,1,0,2,1,3,5,1,0,,6.0,1998.0,3.0,2,576,3.0,3.0,1,0,0,0,0,0,0,,,,0,7,2006,1,1,148000
378,60,3,102.0,11143,2,,2,1,1,2,1,22,3,3,1.0,4,8,5,2004,2005,2,2,6,6,4.0,0.0,2,3,3,2.0,3.0,4.0,6.0,0,6.0,0,1580,1580,2,1,1,1.0,1580,886,0,2466,0,0,3,0,4,1,2,8,1,1,2.0,2.0,2004.0,2.0,2,610,3.0,3.0,1,159,214,0,0,0,0,,,,0,12,2007,1,1,340000
379,20,6,88.0,11394,2,,1,1,1,2,1,23,3,3,1.0,1,9,2,2010,2010,4,2,15,15,5.0,350.0,2,3,3,1.0,3.0,2.0,1.0,1445,6.0,0,411,1856,2,1,1,1.0,1856,0,0,1856,1,0,1,1,1,1,1,8,1,1,1.0,2.0,2010.0,1.0,3,834,3.0,3.0,1,113,0,0,0,0,0,,,,0,6,2010,4,6,394432
380,60,6,60.0,8123,2,,2,1,1,1,1,9,5,3,1.0,4,6,5,2000,2000,2,2,15,15,2.0,16.0,3,3,3,2.0,3.0,4.0,6.0,0,6.0,0,982,982,2,1,1,1.0,1007,793,0,1800,0,0,2,1,3,1,3,7,1,1,3.0,2.0,2000.0,1.0,2,463,3.0,3.0,1,100,63,0,0,0,0,,,,0,6,2009,1,1,179000
381,50,6,50.0,5000,2,2.0,1,1,1,1,1,19,3,3,1.0,2,5,6,1924,1950,2,2,4,16,4.0,0.0,3,3,1,3.0,3.0,4.0,5.0,218,6.0,0,808,1026,2,3,1,1.0,1026,665,0,1691,0,0,2,0,3,1,2,6,1,1,2.0,6.0,1924.0,3.0,1,308,3.0,3.0,1,0,0,242,0,0,0,,,,0,5,2010,1,1,127000
382,20,3,60.0,7200,2,2.0,1,1,1,1,1,22,3,3,1.0,1,7,5,2006,2006,2,2,15,15,4.0,0.0,2,3,3,2.0,2.0,4.0,6.0,0,6.0,0,1293,1293,2,1,1,1.0,1301,0,0,1301,1,0,2,0,2,1,2,5,1,1,2.0,2.0,2006.0,2.0,2,572,3.0,3.0,1,216,121,0,0,0,0,,,,0,8,2006,4,6,187750
383,60,6,79.0,9245,2,,2,1,1,1,1,6,3,3,1.0,4,7,5,2006,2006,2,2,15,15,4.0,0.0,2,3,3,2.0,3.0,2.0,6.0,0,6.0,0,939,939,2,1,1,1.0,939,858,0,1797,0,0,2,1,3,1,2,8,1,0,,2.0,2006.0,2.0,2,639,3.0,3.0,1,144,53,0,0,0,0,,,,0,4,2007,1,1,213500
384,45,5,60.0,9000,2,,1,1,1,2,1,21,3,3,1.0,3,6,3,1928,1950,2,2,16,16,4.0,0.0,3,3,1,4.0,4.0,4.0,6.0,0,6.0,0,784,784,2,3,0,2.0,784,0,0,784,0,0,1,0,2,1,3,5,1,0,,6.0,1950.0,3.0,2,360,4.0,4.0,3,0,0,91,0,0,0,,,,0,10,2009,1,1,76000
385,60,6,,53107,2,,3,4,1,2,2,5,2,3,1.0,4,6,5,1992,1992,2,2,7,7,4.0,0.0,2,3,3,2.0,3.0,2.0,1.0,985,6.0,0,595,1580,2,1,1,1.0,1079,874,0,1953,1,0,2,1,3,1,2,9,1,2,4.0,2.0,1992.0,1.0,2,501,3.0,3.0,1,216,231,0,0,0,0,,,,0,6,2007,1,1,240000
386,120,6,43.0,3182,2,,1,1,1,1,1,1,3,3,4.0,1,8,5,2004,2005,2,2,15,15,2.0,16.0,2,3,3,2.0,3.0,4.0,1.0,24,6.0,0,1232,1256,2,1,1,1.0,1269,0,0,1269,0,0,2,0,2,1,2,6,1,1,3.0,2.0,2004.0,1.0,2,430,3.0,3.0,1,146,20,0,0,144,0,,,,0,4,2010,1,1,192000
387,50,6,58.0,8410,2,,1,1,1,4,1,8,2,3,1.0,2,5,3,1910,1996,3,2,16,15,4.0,0.0,3,4,3,3.0,3.0,4.0,6.0,0,6.0,0,658,658,2,3,1,1.0,658,526,0,1184,0,0,1,0,5,1,3,8,1,0,,,,,0,0,,,3,0,151,0,0,0,0,,,,0,5,2006,1,3,81000
388,80,6,72.0,7200,2,,1,1,1,1,1,8,3,3,1.0,8,6,6,1976,1976,4,2,9,9,2.0,255.0,3,3,2,3.0,3.0,2.0,2.0,631,6.0,0,410,1041,2,1,1,1.0,1125,0,0,1125,1,0,1,0,3,1,3,6,1,1,4.0,6.0,1977.0,3.0,1,352,3.0,3.0,1,296,0,0,0,0,0,,3.0,,0,10,2009,1,2,125000
389,20,6,93.0,9382,2,,2,1,1,3,1,6,3,3,1.0,1,7,5,1999,2000,2,2,15,15,2.0,125.0,2,3,3,2.0,3.0,4.0,6.0,0,6.0,0,1468,1468,2,1,1,1.0,1479,0,0,1479,0,0,2,0,3,1,2,6,1,0,,2.0,1999.0,2.0,2,577,3.0,3.0,1,120,25,0,0,0,0,,,,0,7,2008,1,1,191000
